Article ID,Feedback 1,Comments,Label(s),Link to Article,Type
25,I didn't find any useful information.,can add information about how to become a preferred seller?,Constructive Criticism,https://seller.shopee.sg/edu/article/25,article
43,I didn't find any useful information.,shopee express do not come to pickup how to do,Genuine Question,https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
43,I didn't find any useful information.,"I ask for holiday mode, system not allow, ask ur guy how to settle this, need a lot information and wait for 3 days , case closed, now u say avoid lat",Negative Complaint,https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
43,I didn't find any useful information.,"Most of the time, late shipment happened when courier did not showed up to pickup orders.",Negative Complaint,https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
43,I didn't find any useful information.,late shipping is partly some of the items werent scan accordingly courrier error we suffer for the penalty and lost of item ,Negative Complaint,https://seller.shopee.sg/edu/article/43/calculate-late-shipment-rate-LSR,article
44,I didn't find any useful information.,The estimate released date is way past over and I haven't received my payment.Please arrange ASAP ,Negative Complaint,https://seller.shopee.sg/edu/article/44/Shopees-income-withdrawal-process,article
44,I didn't find any useful information.,"your max Withdwal is $9999 , really figure out what oder ID has been paid if refer income sttm  . Please advise ","Negative Complaint, Genuine Question",https://seller.shopee.sg/edu/article/44/Shopees-income-withdrawal-process,article
50,I didn't find any useful information.,Chat response stats need to be separate for seller and buyer. I recently started a shop and it seems my chat response stats as seller is now affected,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/50/understanding-chat-response,article
50,I didn't find any useful information.,once a while I will encounter Ghost Chat when there is no buyer chat but I am deducted point for not responding to a Ghost chat. terrible shopee syste,Negative Complaint,https://seller.shopee.sg/edu/article/50/understanding-chat-response,article
53,I didn't find any useful information.,direct me how to add slot ,Genuine Question,https://seller.shopee.sg/edu/article/53/shopee-flash-deals-sessions,article
60,I didn't find any useful information.,i am still seeing nothing in my product detail page,Negative Complaint,https://seller.shopee.sg/edu/article/60,article
71,I didn't find any useful information.,The information did not tell us on how we can select our preferred 3PL partners.,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics?utm_medium=notification&utm_source=webar,article
71,I didn't find any useful information.,Using spx requires lpn id and pin which was now showed where to obtain these infor,"Design Feedback, Unknown",https://seller.shopee.sg/edu/article/71/about-shopee-supported-logistics,article
168,I didn't find any useful information.,"Seller cancel due to buyer not providing personalised item details, not due to out of stock. No other choice is available.",Constructive Criticism,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
168,I didn't find any useful information.,Please add more selections for seller cancel buyer order due to un contactable. ,Constructive Criticism,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
168,I didn't find any useful information.,"If is small seller, ordered number low, even with 1 returned parcel, the percentage hit is easily high? Don’t shopee should create tier achievement? ",Constructive Criticism,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
168,I didn't find any useful information.,I want to appeal but cannot,Negative Complaint,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
168,I didn't find any useful information.,This calculator is merely useless…. It’s totally buyers’ sided. There was a case when I sent out a parcel and ninjavan couldn’t find the item for day,Negative Complaint,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
168,I didn't find any useful information.,I responded to buyer to arrange home delivery for an error made. But buyer only realised after cancellation of order,Unknown,https://seller.shopee.sg/edu/article/168/calculate-non-fulfilment-rate-NFR,article
175,I didn't find any useful information.,Doesn't make sense for low-value items,Negative Complaint,https://seller.shopee.sg/edu/article/175/packing-the-orderder,article
181,I didn't find any useful information.,Should provide the link to report violations.,Constructive Criticism,https://seller.shopee.sg/edu/article/181/listing-violations-types,article
181,I didn't find any useful information.,"Shopee practised unfair act to different sellers, I have been reported twice same issue. Other sellers like ""searchme"" was never penalised on this",Negative Complaint,https://seller.shopee.sg/edu/article/181/listing-violations-types,article
181,I didn't find any useful information.,I was flagged for spam listing. But I dont know what type of spam listing i violated. ,Negative Complaint,https://seller.shopee.sg/edu/article/181/listing-violations-types,article
257,I didn't find any useful information.,Calculator wrongly,Constructive Criticism,https://seller.shopee.sg/edu/article/257,article
257,The lessons were too difficult.,Shopee should come out a seller calculator just key in selling price and we can get the take back amount.,Constructive Criticism,https://seller.shopee.sg/edu/article/257,article
257,I didn't find any useful information.,The Transation formula doesnt not reflect the correct rates when i check with the invoice. It closer to 2.33%(2.16% + 8% )? than 2% + 8%,"Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/257,article
724,I didn't find any useful information.,INSUFFICIENT INFO. 8) CAMPAIGN STOCK - What is 1) No Update ????,"Negative Complaint, Genuine Question",https://seller.shopee.sg/edu/article/724/nominate-products-product-campaign,article
739,I didn't find any useful information.,you can just add links application/shop requirement/hardware requirement all together,Constructive Criticism,https://seller.shopee.sg/edu/article/739,article
749,I didn't find any useful information.,How to help buyer to locate their parcel,Genuine Question,https://seller.shopee.sg/edu/article/749,article
750,I didn't find any useful information.,"Shopee agent do not know the process in handling damaged products, and pushes all fault to seller.. What is than the purpose of this article. ","Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/750,article
801,I didn't find any useful information.,Outdated info on j & T pick up for all sellers,Constructive Criticism,https://seller.shopee.sg/edu/article/801,article
801,I didn't find any useful information.,How to change SSL ?,Genuine Question,https://seller.shopee.sg/edu/article/801,article
825,I didn't find any useful information.,Need to explain what are Search Ads and Discovery Ads and how will these ads appear in the seller listing. Show examples.,Constructive Criticism,https://seller.shopee.sg/edu/article/825/shopee-ads,article
924,I didn't find any useful information.,"You did not solve my query, this is just a small envelope but I need to pay a postage fee of $0.52, this was not mentioned when I purchased the vouche",Negative Complaint,https://seller.shopee.sg/edu/article/924/dispute-shipping-fee-overcharged?csFillToken=841b44f6-4464-4f8d-b1d5-d85697cfca92,article
924,I didn't find any useful information.,Despite showing weight item of per le shopee still anyhow charge shipping,Negative Complaint,https://seller.shopee.sg/edu/article/924/dispute-shipping-fee-overcharged,article
953,There were broken links.|The lessons were too difficult.|I didn't find any useful information.,confusing ,"Design Feedback, Unknown",https://seller.shopee.sg/edu/article/953,article
1104,The lessons were too difficult.,the shipping fee is need to pay both from buyer and seller?,Genuine Question,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article
1104,I didn't find any useful information.,Hi how can I use my own shipping partner?,Genuine Question,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics/,article
1104,I didn't find any useful information.,i am looking for store pick up,Genuine Question,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article
1104,I didn't find any useful information.,How can I set shipping for buyers to self collection at selected points?,Genuine Question,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article
