Comments,Labels
I felt the paragraph about [specific topic] was repetitive.,Constructive_Criticism
You should explore [specific angle] as well—it’s quite relevant to the topic.,Constructive_Criticism
"The font size is too small, making it hard to read.",Design_Feedback
Your layout is visually appealing and easy to navigate.,Positive Comment
Consider using more visuals and less text to break up the content.,Constructive_Criticism
The product I received was damaged and unusable.,Negative_Complaint
Delivery took way longer than expected.,Negative_Complaint
"The item description was misleading, and it’s not what I ordered.",Negative_Complaint
Customer service didn’t respond to my queries at all.,Negative_Complaint
The return process is too complicated and frustrating.,Negative_Complaint
This site is the worst!,Negative_Complaint
I’ll never shop here again!,Negative_Complaint
Totally useless company.,Negative_Complaint
I hate this platform.,Negative_Complaint
Worst experience ever!,Negative_Complaint
"The product selection is great, but filtering options could be improved.",Constructive_Criticism
The checkout process is confusing; consider simplifying it.,Constructive_Criticism
"Prices are competitive, but more discounts would be appreciated.",Constructive_Criticism
The app crashes frequently; please work on the stability.,Constructive_Criticism
Consider adding a loyalty programme to reward regular buyers.,Constructive_Criticism
Great selection of products and very fast delivery!,Positive Comment
"The discounts on electronics are amazing, keep it up!",Positive Comment
I appreciate how easy it is to track my order on your app.,Positive Comment
The customer service team resolved my issue promptly—thank you!,Positive Comment
This is my go-to platform for online shopping!,Positive Comment
Love this app!,Positive Comment
Awesome service!,Positive Comment
Fantastic deals!,Positive Comment
Best shopping site ever!,Positive Comment
Simply amazing!,Positive Comment
